p, 101
b, 102
p̪, 101+408
b̪, 102+408
t̪, 103+408
d̪, 104+408
t, 103
d, 104
t̠, 
d̠, 
ʈ, 105
ɖ, 106
, 
, 
c, 107
ɟ, 108
k, 109
ɡ, 110
q, 111
ɢ, 112
, 
, 
ʡ, 173
, 
ʔ, 113
, 
pʰ, 101+403
bʰ, 102+403
p ̪ʰ, 101+408+403
b ̪ʰ, 102+408+403
t ̪ʰ, 103+408+403
d ̪ʰ, 104+408+403
tʰ, 103+403
dʰ, 104+403
ṯʰ, 
ḏʰ, 
ʈʰ, 105+403
ɖʰ, 106+403
, 
, 
cʰ, 107+403
ɟʰ, 108+403
kʰ, 109+403
gʰ, 110+403
qʰ, 111+403
ɢʰ, 112+403
, 
, 
, 
, 
, 
, 
p’, 
, 
, 
, 
t ̪’, 
, 
t’, 
, 
ṯ’, 
, 
ʈ’, 
, 
, 
, 
c’, 
, 
k’, 
, 
q’, 
, 
, 
, 
, 
, 
, 
, 
, 
ɓ, 
, 
ɓ̪, 
, 
ɗ̪, 
, 
ɗ, 
, 
ɗ̱, 
, 
ᶑ, 
, 
, 
, 
ʄ, 
, 
ɠ, 
, 
ʛ, 
, 
, 
, 
, 
, 
, 
ʘ, 
, 
, 
, 
ǀ, 
, 
ǃ, 
, 
ǂ, 
, 
ǁ, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
m̥, 114+402
m, 114
ɱ̊, 
ɱ, 115
n̪̊, 
n̪, 116+408
n̥, 116+402
n, 116
n̠̊, 
n̠, 116+414
ɳ̊, 
ɳ, 117
, 
, 
ɲ̥, 118+402
ɲ, 118
ŋ̊, 119+402
ŋ, 119
ɴ̥, 
ɴ, 120
, 
, 
, 
, 
, 
, 
ʙ̥, 
ʙ, 121
, 
, 
r̪̊, 
r̪, 
r̥, 
r, 122
r̠̊, 
r̠, 
ɽr, 122+433+125
, 
, 
, 
, 
, 
, 
, 
ʀ̥, 
ʀ, 123
, 
, 
, 
я, 
, 
, 
, 
ⱱ̟, 184+413
, 
ⱱ, 184
, 
, 
, 
ɾ, 124
, 
, 
, 
ɽ, 125
, 
, 
, 
, 
, 
, 
, 
ɢ̆, 112+505
, 
, 
, 
ʡ̯, 173+432
, 
, 
ɸ, 126
β, 127
f, 128
v, 129
θ, 130
ð, 131
s, 132
z, 133
ʃ, 134
ʒ, 135
ʂ, 136
ʐ, 137
ɕ, 
ʑ, 
ç, 138
ʝ, 139
x, 140
ɣ, 141
χ, 142
ʁ, 143
ħ, 144
ʕ, 145
ʜ, 172
ʢ, 174
h, 146
ɦ, 147
ɸ’, 
, 
f’, 
, 
θ’, 
, 
s’, 
, 
ʃ ’, 
